code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
ACT101,Hackathon: Dignity from Data — Using Snowflake to Solve the United States' Homelessness Crisis,ハッカソン：データからの尊厳 - スノーフレークを使用して米国のホームレス危機を解決する,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 09:00:00,2024-06-03 17:00:00,9,"The homelessness crisis in the U.S. is a pressing issue, as the nation grapples with a significant population of unhoused individuals. This problem disproportionately affects women and children, exacerbating mental health challenges stemming from trauma such as gender-based violence and family separation. Despite some progress, homelessness persists as a complex societal challenge, prompting the need for innovative approaches. Efforts are now being directed toward addressing homelessness on a national scale. This hackathon is dedicated to harnessing the power of data and the Snowflake Data Cloud to confront homelessness effectively. Throughout the event, participants will utilize tools such as Snowpark, Streamlit, geospatial analytics and the Snowflake Marketplace, alongside a range of partner solutions. They will employ Streamlit to build data visualization applications, geospatial analytics for precise location insights, Snowflake Cortex for machine learning, and Snowflake Marketplace for a vast array of supplementary data sets, apps and solutions.

",米国のホームレスの危機は、国民が不快な個人のかなりの人口と格闘しているため、差し迫った問題です。この問題は、女性と子供に不釣り合いに影響を与え、ジェンダーに基づく暴力や家族の分離などのトラウマに起因するメンタルヘルスの課題を悪化させます。ある程度の進歩にもかかわらず、ホームレスは複雑な社会的挑戦として持続し、革新的なアプローチの必要性を促します。現在、全国規模でホームレスに対処することに取り組んでいます。このハッカソンは、ホームレスに効果的に立ち向かうために、データの力とスノーフレークデータクラウドを活用することに専念しています。イベント全体を通して、参加者は、スノーパーク、流れ、地理空間分析、スノーフレークマーケットプレイスなどのツールを、さまざまなパートナーソリューションとともに利用します。彼らは、retrienlidを採用して、データ視覚化アプリケーション、正確な場所の洞察のための地理空間分析、機械学習用のスノーフレーク皮質、および膨大な補足データセット、アプリ、ソリューションのためのスノーフレーク市場を構築します。,1710875911333001BsCF,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710875911333001BsCF
ACT103,AI for Good: Transforming Industries,AIのためのAI：変革産業,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Discover the power of AI for good in our session exploring its impact across industries. Our panelists, experts in their fields, will discuss how AI is revolutionizing healthcare, telecommunications, sustainability and the public sector. From improving patient outcomes to optimizing networks and addressing environmental challenges, AI is making a difference. Join to learn how — and to engage in a lively panel discussion and Q&A to delve into the opportunities and challenges ahead.",私たちのセッションでAIの力を永久に発見して、業界全体でのその影響を調査してください。当社の分野の専門家であるパネリストは、AIがどのようにヘルスケア、電気通信、持続可能性、公共部門に革命をもたらしているかを議論します。患者の転帰の改善から、ネットワークの最適化や環境上の課題への対処まで、AIは違いを生み出しています。参加して、どのように学び、活気のあるパネルディスカッションとQ＆Aに参加して、今後の機会と挑戦を掘り下げます。,1715217222169001JKeq,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715217222169001JKeq
AI241,AI Research Visionaries Part 1: Drs. Douwe Kiela and Bryan Catanzaro,AI Research Visionarysパート1：Drs。ドゥーウェ・キエラとブライアン・カタンザロ,Breakout-Session,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Amidst the torrential rate of AI announcements, it’s hard to focus on the bigger picture. Are open source models the solution to AI centralization of power, or a dangerous precursor to rogue use of AI? Can we imprint ethics into machine superintelligence? What areas of AI research are most promising or concerning for the future? Snowflake proudly presents a panel with three of the world’s most prominent AI researchers and founders: Drs. Douwe Kiela (Contextual AI) and Bryan Catanzaro (Nvidia). The moderator, Dr. Adrien Treuille — former professor at Carnegie Mellon, former CEO of Streamlit, and now Director of AI Product at Snowflake — will guide our exploration into these profoundly important questions, drawing on the vast experiences and insights of our distinguished guests.",AIの発表の激しい速度の中で、全体像に集中するのは難しいです。オープンソースモデルは、電力のAI集中化の解決策ですか、それともAIの不正使用の危険な前駆体ですか？倫理を機械の緊張に刻み込むことはできますか？AI研究のどの分野が最も有望ですか、それとも将来に懸念していますか？Snowflakeは、世界で最も著名なAI研究者と創設者の3人であるDrsを誇らしげにパネルを提示します。Douwe Kiela（コンテキストAI）とブライアンカタンザロ（Nvidia）。モデレーターのエイドリアン・トレウイユ博士（Carnegie Mellonの元教授）は、Streamlitの元CEOであり、現在はSnowflakeのAI Productのディレクターであり、これらの非常に重要な質問への探求を導き、著名なゲストの膨大な経験と洞察を利用します。,1710895286410001nnxG,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710895286410001nnxG
ACT601,Canada Connect ( ) Meetup,Canada Connect（）Meetup,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:00:00,13,"Join your peers at the Canada connect() meetup, where attendees from across Canada congregate to build new connections. Stop in to meet local community leaders, exchange ideas and expand your professional network!",カナダConnect（）Meetupで仲間に参加してください。ここでは、カナダ全土の参加者が集まり、新しいつながりを構築します。地元のコミュニティのリーダーに会い、アイデアを交換し、プロのネットワークを拡大するために立ち寄ってください！,1715967146086001aZF0,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715967146086001aZF0
CO108,Collaboration: A Business Necessity to Accelerate Digital Transformation,コラボレーション：デジタル変革を加速するためのビジネスの必要性,Breakout-Session,Collaboration,コラボレーション,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Businesses need a reliable way to share data and apps securely across clouds and regions to accelerate digital transformation across product inventory, quantitative research, consumer and market data, ESG, asset and networking data, monitoring of IoT devices, and more. Today, FTP is no longer fit for purpose. In this session, you'll learn how organizations across industries use Snowflake Marketplace, the Snowflake Native App Framework and Snowpark Container Services to share data and apps with their customers and partners. The session will cover how to discover, evaluate and purchase, as well as list and monetize, data and apps - and how to deploy your app in a container in Snowflake.",企業は、クラウドと地域全体でデータとアプリを安全に共有するための信頼できる方法を必要として、製品在庫、定量的調査、消費者および市場データ、ESG、資産とネットワーキングデータ、IoTデバイスの監視などを通じてデジタル変換を加速します。今日、FTPはもはや目的に適合していません。このセッションでは、業界全体の組織がスノーフレークマーケットプレイス、スノーフレークネイティブアプリフレームワーク、スノーパークコンテナサービスを使用して、顧客やパートナーとデータやアプリを共有する方法を学びます。このセッションでは、発見、評価、購入、およびリストと収益化、データとアプリのリストと、雪片でコンテナにアプリを展開する方法について説明します。,1708733245174001yiHn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733245174001yiHn
MD207,Data Mesh and Data Vault on Snowflake with Xero Effort,Xeroの努力を伴うSnowflakeでのデータメッシュとデータの保管,Breakout-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Xero has an advanced Data Vault/Data Mesh implementation on Snowflake. Join this session with Xero and Patrick Cuba, one of Snowflake’s experts on Data Vault, to learn how Xero used the context of domain-driven design (DDD) thinking with Data Vault design thinking to map the business architecture to the information domain through agility, automation and auditability.",Xeroには、Snowflakeに関する高度なデータボールト/データメッシュの実装があります。このセッションには、SnowflakeのData Vaultに関する専門家の1人であるXeroとPatrick Cubaと一緒に参加して、Xeroがドメイン駆動型のデザイン（DDD）のコンテキストを使用した方法を学習し、Data Vault Design Thinkingでビジネスアーキテクチャを俊敏性を通じて情報ドメインにマッピングするために考えています。自動化と監査可能性。,1708733424502001ytDn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733424502001ytDn
MD240,Delivering Trusted Data in This Era of AI,このAIの時代に信頼できるデータを提供します,Theater-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"We're living in an AI era where data trust is paramount. This session reveals the hidden intricacies behind data mistrust, spotlighting common yet elusive problems that ripple through to impact Snowflake. Discover strategies for proactive detection, notification and pre-emptive resolution to transform days of frustrating investigation into moments of clarity. Join this session to learn how to leverage data observability and an AI co-pilot for precise error identification, ensuring technical and business teams operate in harmony — and to learn how to achieve this synergy cost-effectively to mark a pivotal shift in delivering trusted data. Please note: Theaters are first come, first seated.",私たちは、データトラストが最も重要なAI時代に住んでいます。このセッションは、データの不信の背後にある隠された複雑さを明らかにし、スノーフレークに衝撃を与えるために波及する一般的でありながらとらえどころのない問題にスポットライトを当てています。積極的な検出、通知、先制的解決のための戦略を発見して、イライラする調査の日々を明確な瞬間に変換します。このセッションに参加して、データの観察性とAI副操縦士を活用して、正確なエラー識別を実現し、技術チームとビジネスチームが調和して動作するようにし、信頼できるデータの提供における重要なシフトをマークするためにこの相乗的な費用効果を達成する方法を学習します。。注意：劇場が最初に来て、最初に着いてください。,1709860975689001SZ62,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709860975689001SZ62
AI303,Develop a Predictive Model Using Snowflake and Sigma,スノーフレークとシグマを使用して予測モデルを開発します,Hands-on-Lab,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Developing a predictive model strategy is critical in today's analytics landscape. See how Snowflake and Sigma can help you easily create predictive models tailored to your business needs, forecast future trends, optimize operations and make data-driven decisions. Learn how to explore data, identify key columns, and uncover insights without performing extensive coding; reduce complexity for a unified programming environment; develop and execute data pipelines, use feature engineering, and access your machine learning models in a single place; and eliminate the need for your end users to possess in-depth data science expertise, making the process more accessible and efficient.",予測モデル戦略の開発は、今日の分析環境で重要です。スノーフレークとシグマが、ビジネスニーズに合わせて調整された予測モデルを簡単に作成し、将来の傾向を予測し、運用を最適化し、データ駆動型の決定を下す方法をご覧ください。データを探索し、キー列を特定し、広範なコーディングを実行せずに洞察を明らかにする方法を学びます。統一されたプログラミング環境の複雑さを軽減します。データパイプラインを開発および実行し、機能エンジニアリングを使用し、単一の場所で機械学習モデルにアクセスします。そして、エンドユーザーが詳細なデータサイエンスの専門知識を所有する必要性を排除し、プロセスをよりアクセスしやすく効率的にします。,1709661105124001nBOD,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709661105124001nBOD
AD232,"Developing Intelligent Data Apps with Streamlit by Leveraging Azure AI, Azure OpenAI and Snowflake",Azure AI、Azure Openai、Snowflakeを活用して、流線でインテリジェントデータアプリを開発する,Hands-on-Lab,Application Development,アプリケーション開発,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Building data applications can be complex, involving vast amounts of data and different sources. But with an integrated data stack, developers can streamline the process from development to deployment in minutes. This hands-on lab will take the attendees on a journey of developing intelligent data apps with Streamlit, Azure AI and Azure OpenAI, and Snowflake. We'll showcase how to build a fully functional app leveraging the power of Microsoft AI technologies and Snowflake's platform capabilities.",データアプリケーションの構築は、膨大な量のデータとさまざまなソースを含む複雑なものです。しかし、統合されたデータスタックを使用すると、開発者は数分で開発から展開までプロセスを合理化できます。この実践的なラボでは、Streamlit、Azure AI、Azure Openai、Snowflakeを使用して、インテリジェントデータアプリの開発の旅に参加者を連れて行きます。Microsoft AI TechnologiesとSnowflakeのプラットフォーム機能のパワーを活用する完全に機能するアプリを構築する方法を紹介します。,1709775255015001ZthE,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709775255015001ZthE
DE235,Enhancing Motley Fool's ML-Driven Analytics with Striim and Snowpipe Streaming,StriimおよびSnowpipeストリーミングでMotley FoolのML駆動型分析を強化する,Breakout-Session,Data Engineering,データエンジニアリング,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"This session will explore how Striim for Snowflake has transformed real-time data integration and streaming into a fully managed and automated solution, boosting business agility. Our partnership with Snowflake leverages Snowpipe Streaming, enabling the low-latency loading of streaming data rows. Join to discover how this powerful integration offers Motley Fool's marketing analytics and campaign planning teams a reliable and feature-rich platform for near real-time analytics on click-traffic, event-driven actions and data enrichment — critical for crafting effective ad campaigns. We'll cover how our advanced analytics and machine learning (ML) frameworks facilitate swift, informed decisions with minimal latency, while our continuous learning algorithms ensure that models adapt dynamically, staying aligned with evolving business and data landscapes. Attendees will take away an understanding of how this approach not only enhances performance, but also reduces costs — providing a superior solution for today’s dynamic market needs.",このセッションでは、スノーフレークのStriimがリアルタイムのデータ統合とストリーミングを完全に管理され、自動化されたソリューションに変換し、ビジネスの俊敏性を高めた方法を探ります。Snowflakeとのパートナーシップは、Snowpipeストリーミングをレバレッジし、ストリーミングデータの行の低下負荷を可能にします。参加して、この強力な統合がMotley Foolのマーケティング分析とキャンペーン計画チームが、クリックトラフィック、イベント駆動型のアクションとデータ強化に関するほぼリアルタイム分析のための信頼性の高い機能豊富なプラットフォームを提供する方法を発見します。高度な分析と機械学習（ML）フレームワークが最小限のレイテンシで迅速かつ情報に基づいた意思決定を促進する方法をカバーしますが、継続的な学習アルゴリズムにより、モデルが動的に適応し、進化するビジネスやデータランドスケープに合わせて適応します。参加者は、このアプローチがパフォーマンスを向上させるだけでなく、コストを削減する方法を理解し、今日のダイナミックな市場ニーズに優れたソリューションを提供します。,1709938063506001cbFe,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709938063506001cbFe
