code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
ACT101,Hackathon: Dignity from Data — Using Snowflake to Solve the United States' Homelessness Crisis,ハッカソン: データからの尊厳 — Snowflake を使用して米国のホームレス危機を解決する,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 09:00:00,2024-06-03 17:00:00,9,"The homelessness crisis in the U.S. is a pressing issue, as the nation grapples with a significant population of unhoused individuals. This problem disproportionately affects women and children, exacerbating mental health challenges stemming from trauma such as gender-based violence and family separation. Despite some progress, homelessness persists as a complex societal challenge, prompting the need for innovative approaches. Efforts are now being directed toward addressing homelessness on a national scale. This hackathon is dedicated to harnessing the power of data and the Snowflake Data Cloud to confront homelessness effectively. Throughout the event, participants will utilize tools such as Snowpark, Streamlit, geospatial analytics and the Snowflake Marketplace, alongside a range of partner solutions. They will employ Streamlit to build data visualization applications, geospatial analytics for precise location insights, Snowflake Cortex for machine learning, and Snowflake Marketplace for a vast array of supplementary data sets, apps and solutions.

",アメリカ合衆国におけるホームレス問題は深刻な問題であり、国は不泊とされる個人の重要な人口に直面しています。この問題は女性や子供たちに対して不均等に影響を与え、トラウマに起因する精神保健上の課題を悪化させることがあります。例えば、ジェンダーに基づく暴力や家族の離別などです。進歩はあったものの、ホームレスは複雑な社会的課題となっており、革新的なアプローチが必要とされています。この問題に対処するために、国家的規模での努力が行われています。このハッカソンは、データの力とSnowflake Data Cloudを活用して、効果的にホームレス問題に立ち向かうことを目的としています。イベント中に参加者は、Snowpark、Streamlit、ジオスペース分析、Snowflake Marketplaceなどのツールを活用します。また、各種パートナーソリューションも活用します。Streamlitを使用してデータ可視化アプリケーションを構築し、ジオスペース分析を使用して正確な位置情報を得ることができます。Snowflake Cortexを使用して機械学習を行い、Snowflake Marketplaceから多くの補足データセット、アプリケーション、ソリューションを利用することができます。,1710875911333001BsCF,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710875911333001BsCF
ACT103,AI for Good: Transforming Industries,AI for Good: 産業の変革,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Discover the power of AI for good in our session exploring its impact across industries. Our panelists, experts in their fields, will discuss how AI is revolutionizing healthcare, telecommunications, sustainability and the public sector. From improving patient outcomes to optimizing networks and addressing environmental challenges, AI is making a difference. Join to learn how — and to engage in a lively panel discussion and Q&A to delve into the opportunities and challenges ahead.","人工知能の良い側面を探るセッションで、専門家パネリストが産業における人工知能の影響を語ります。人工知能が医療、テレコミュニケーション、持続可能性、公共部門でどのように革命を起こしているのかを学びます。患者の結果を改善し、ネットワークを最適化し、環境課題に取り組むために人工知能が役立っていることを確認します。このトピックについて、パネルディスカッションやQ&Aを通じて、これからの機会と課題について話し合いましょう。
",1715217222169001JKeq,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715217222169001JKeq
AI241,AI Research Visionaries Part 1: Drs. Douwe Kiela and Bryan Catanzaro,AI 研究の先見者パート 1: Drs.ドゥー・キエラとブライアン・カタンツァロ,Breakout-Session,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Amidst the torrential rate of AI announcements, it’s hard to focus on the bigger picture. Are open source models the solution to AI centralization of power, or a dangerous precursor to rogue use of AI? Can we imprint ethics into machine superintelligence? What areas of AI research are most promising or concerning for the future? Snowflake proudly presents a panel with three of the world’s most prominent AI researchers and founders: Drs. Douwe Kiela (Contextual AI) and Bryan Catanzaro (Nvidia). The moderator, Dr. Adrien Treuille — former professor at Carnegie Mellon, former CEO of Streamlit, and now Director of AI Product at Snowflake — will guide our exploration into these profoundly important questions, drawing on the vast experiences and insights of our distinguished guests.",アイの発表が急速に行われる中、大きな画像に焦点を当てるのは難しいです。オープンソースモデルは、AIの力の集中を解決するか、AIの悪用の危険な前兆ですか？機械の精神性を印刷できますか？AIの研究の哪の分野が最も vielversprechendまたは将来の懸念ですか？Snowflakeは、世界で最も紹介されているAI研究者と創設者の3人のパネルを誇りに挙げています。Drs. Douwe Kiela（コンテキストAI）とBryan Catanzaro（Nvidia）。著名な講師であり、ストリームリットのCEO、そして現在SnowflakeのAI製品ディレクターであるDr. Adrien Treuilleは、彼らの尊敬されるゲストの豊富な経験と洞察を活用して、これらの重要な質問について探求を引き締めます。,1710895286410001nnxG,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710895286410001nnxG
ACT601,Canada Connect ( ) Meetup,Canada Connect ( ) ミートアップ,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:00:00,13,"Join your peers at the Canada connect() meetup, where attendees from across Canada congregate to build new connections. Stop in to meet local community leaders, exchange ideas and expand your professional network!","カナダのconnect()ミートアップに参加しましょう。カナダ各地からの出席者が集まり、新しいつながりを築く場所です。地域コミュニティの指導者に会い、アイデアを交換し、プロフェッショナルネットワークを拡大しましょう！
",1715967146086001aZF0,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715967146086001aZF0
CO108,Collaboration: A Business Necessity to Accelerate Digital Transformation,コラボレーション: デジタル変革を加速するためのビジネス上の必要性,Breakout-Session,Collaboration,コラボレーション,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Businesses need a reliable way to share data and apps securely across clouds and regions to accelerate digital transformation across product inventory, quantitative research, consumer and market data, ESG, asset and networking data, monitoring of IoT devices, and more. Today, FTP is no longer fit for purpose. In this session, you'll learn how organizations across industries use Snowflake Marketplace, the Snowflake Native App Framework and Snowpark Container Services to share data and apps with their customers and partners. The session will cover how to discover, evaluate and purchase, as well as list and monetize, data and apps - and how to deploy your app in a container in Snowflake.","ビジネスは、クラウド間で安全にデータとアプリを共有する信頼できる方法が必要であり、プロダクトインベントリ、定量調査、消費者や市場データ、ESG、資産やネットワークデータ、IoTデバイスの監視などのデジタル変革を加速させるためです。今日では、FTPは適切ではありません。このセッションでは、業界を問わず、Snowflake Marketplace、Snowflake Native App Framework、Snowpark Container Servicesを使用してデータとアプリを顧客やパートナーと共有する方法を学びます。セッションでは、データとアプリの発見、評価、購入、リスト化、収益化、およびSnowflake内のコンテナにアプリをデプロイする方法についても説明します。
",1708733245174001yiHn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733245174001yiHn
MD207,Data Mesh and Data Vault on Snowflake with Xero Effort,Xero Effort を使用した Snowflake 上のデータ メッシュとデータ ボールト,Breakout-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Xero has an advanced Data Vault/Data Mesh implementation on Snowflake. Join this session with Xero and Patrick Cuba, one of Snowflake’s experts on Data Vault, to learn how Xero used the context of domain-driven design (DDD) thinking with Data Vault design thinking to map the business architecture to the information domain through agility, automation and auditability.","XeroはSnowflake上で高度なData Vault/Data Mesh実装を採用しています。XeroとPatrick Cuba氏によるこのセッションでは、SnowflakeのData VaultエキスパートであるPatrick Cubaが、Xeroがドメイン駆動設計（DDD）思考とData Vault設計思考を組み合わせて、ビジネスアーキテクチャを情報ドメインにマッピングすることによる柔軟性、自動化、および監査可能性について学びます。
",1708733424502001ytDn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733424502001ytDn
MD240,Delivering Trusted Data in This Era of AI,AIの時代に信頼できるデータを提供する,Theater-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"We're living in an AI era where data trust is paramount. This session reveals the hidden intricacies behind data mistrust, spotlighting common yet elusive problems that ripple through to impact Snowflake. Discover strategies for proactive detection, notification and pre-emptive resolution to transform days of frustrating investigation into moments of clarity. Join this session to learn how to leverage data observability and an AI co-pilot for precise error identification, ensuring technical and business teams operate in harmony — and to learn how to achieve this synergy cost-effectively to mark a pivotal shift in delivering trusted data. Please note: Theaters are first come, first seated.","私たちは、データ信頼が最重要視されるAI時代に生きています。このセッションでは、データ不信頼の隠れた複雑さに焦点を当て、Snowflakeに波及するような一般的でありながら難しい問題を明らかにします。検出、通知、事前解決の戦略を発見し、調査に時間をかけることなく、明確さを瞬時に得るための方法を習得しましょう。このセッションに参加して、データ観察性とAIコーディネーターを活用して正確なエラー識別を行い、技術的およびビジネスチームが協力して動作するようにし、このシナジーをコスト効率的に実現して、信頼できるデータの節目的な変化をもたらす方法を学びましょう。劇場は、満席の場合がありますので、お早めにお越しください。
",1709860975689001SZ62,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709860975689001SZ62
AI303,Develop a Predictive Model Using Snowflake and Sigma,Snowflake と Sigma を使用して予測モデルを開発する,Hands-on-Lab,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Developing a predictive model strategy is critical in today's analytics landscape. See how Snowflake and Sigma can help you easily create predictive models tailored to your business needs, forecast future trends, optimize operations and make data-driven decisions. Learn how to explore data, identify key columns, and uncover insights without performing extensive coding; reduce complexity for a unified programming environment; develop and execute data pipelines, use feature engineering, and access your machine learning models in a single place; and eliminate the need for your end users to possess in-depth data science expertise, making the process more accessible and efficient.","予測モデル戦略の開発は、今日の分析の地形では非常に重要です。SnowflakeとSigmaが、あなたのビジネスニーズに合わせて簡単に予測モデルを作成し、将来のトレンドを予測し、操作を最適化し、データ駆動の意思決定を行う方法を学びましょう。データを探索し、キーカラムを特定し、分析情報を明らかにするために、広範囲なコーディングを行わない方法を学ぶことができます。複雑さを減らし、統一されたプログラミング環境を提供し、データパイプラインを開発および実行し、機能工学を使用し、単一の場所でマシンラーニングモデルにアクセスする方法を学ぶことができます。そして、エンドユーザーがデータサイエンスの専門知識を深く持っていなくても、プロセスをアクセスしやすく、効率的にすることができます。
",1709661105124001nBOD,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709661105124001nBOD
AD232,"Developing Intelligent Data Apps with Streamlit by Leveraging Azure AI, Azure OpenAI and Snowflake",Azure AI、Azure OpenAI、Snowflake を活用して Streamlit を使用したインテリジェントなデータ アプリの開発,Hands-on-Lab,Application Development,アプリケーション開発,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Building data applications can be complex, involving vast amounts of data and different sources. But with an integrated data stack, developers can streamline the process from development to deployment in minutes. This hands-on lab will take the attendees on a journey of developing intelligent data apps with Streamlit, Azure AI and Azure OpenAI, and Snowflake. We'll showcase how to build a fully functional app leveraging the power of Microsoft AI technologies and Snowflake's platform capabilities.","データアプリケーションの構築は複雑になることがあり、大量のデータと異なるソースが含まれる場合があります。しかし、統合されたデータスタックを使用すると、開発からデプロイまでのプロセスを数分でストリームライン化できます。このハンズオンラボでは、Streamlit、Azure AI、Azure OpenAI、Snowflakeを使用してインテリジェントなデータアプリを開発する旅を体験します。Microsoft AIテクノロジーの力とSnowflakeのプラットフォーム機能を活用して完全に機能するアプリを構築する方法を紹介します。
",1709775255015001ZthE,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709775255015001ZthE
DE235,Enhancing Motley Fool's ML-Driven Analytics with Striim and Snowpipe Streaming,Striim と Snowpipe ストリーミングで Motley Fool の ML 駆動型分析を強化する,Breakout-Session,Data Engineering,データエンジニアリング,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"This session will explore how Striim for Snowflake has transformed real-time data integration and streaming into a fully managed and automated solution, boosting business agility. Our partnership with Snowflake leverages Snowpipe Streaming, enabling the low-latency loading of streaming data rows. Join to discover how this powerful integration offers Motley Fool's marketing analytics and campaign planning teams a reliable and feature-rich platform for near real-time analytics on click-traffic, event-driven actions and data enrichment — critical for crafting effective ad campaigns. We'll cover how our advanced analytics and machine learning (ML) frameworks facilitate swift, informed decisions with minimal latency, while our continuous learning algorithms ensure that models adapt dynamically, staying aligned with evolving business and data landscapes. Attendees will take away an understanding of how this approach not only enhances performance, but also reduces costs — providing a superior solution for today’s dynamic market needs.",このセッションでは、Striim for Snowflakeがリアルタイムデータ統合とストリーミングを完全に管理された自動化されたソリューションに変え、ビジネス柔軟性を向上させる方法を探求します。SnowflakeとのパートナーシップはSnowpipe Streamingを活用し、ストリーミングデータのロードに低遅延を実現します。このパワフルな統合が、Motley Foolのマーケティング分析とキャンペーン計画チームに、クリックトラフィック、イベント駆動型アクション、データエンリッチメントをリアルタイムで分析するための信頼性と機能豊富なプラットフォームを提供することを発見します。これは、効果的な広告キャンペーンを策定するために不可欠です。我々の先進的な分析と機械学習（ML）フレームワークは、最小限の遅延で迅速かつ情報に基づいた決定を可能にします。また、継続的な学習アルゴリズムは、ビジネスとデータの景観が変化するにつれてモデルが動的に適応し、常に整合し続けることを保証します。参加者は、このアプローチがパフォーマンスを向上させ、コストを削減することで、今日の動的な市場のニーズに優れたソリューションを提供する方法を理解することになります。,1709938063506001cbFe,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709938063506001cbFe
