code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
ACT101,Hackathon: Dignity from Data - Using Snowflake to Solve California's Homelessness Crisis,ハッカソン: データからの尊厳 - Snowflake を使用してカリフォルニアのホームレス危機を解決する,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 09:00:00,2024-06-03 17:00:00,9,"California grapples with severe homelessness, leading the nation in unhoused individuals. Homelessness disproportionately affects women and children, exacerbating mental health issues due to trauma, such as gender-based violence and separation from caregivers. Despite progress, the issue persists, prompting innovative solutions. To help tackle this, California introduced the Homeless Data Integration System (HDIS), which consolidates homeless data into Snowflake and offers a holistic view of state-wide efforts by tracking services provided, demographics, and effective interventions.  This hackathon aims to put that data and the full power of the Data Cloud to good use. Throughout the hackathon, participants will explore features like Snowpark, Streamlit, Geospatial Analytics, Snowflake Marketplace, plus a plethora of partner solutions. They'll also use Streamlit to build data visualisation applications, Geospatial Analytics for precise location insights, Snowflake Cortex for machine learning, and Snowflake's Marketplace for a vast array of supplementary data sets, apps, and solutions.",カリフォルニア州は深刻なホームレス問題に取り組んでおり、住居のない個人の数では全米をリードしている。ホームレスは女性と子供に特に影響を及ぼし、ジェンダーに基づく暴力や介護者からの離別などのトラウマによる精神衛生上の問題を悪化させます。進歩にもかかわらず、問題は解決せず、革新的な解決策が求められています。この問題に取り組むために、カリフォルニア州はホームレス データ統合システム (HDIS) を導入しました。HDIS はホームレス データを Snowflake に統合し、提供されるサービス、人口統計、効果的な介入を追跡することで州全体の取り組みの全体像を提供します。このハッカソンは、そのデータとデータ クラウドの能力を最大限に活用することを目的としています。ハカソンを通じて、参加者は Snowpark、Streamlit、Geospatial Analytics、Snowflake Marketplace などの機能に加え、多数のパートナー ソリューションを探索します。また、Streamlit を使用してデータ視覚化アプリケーションを構築し、Geospatial Analytics を使用して正確な位置情報を把握し、Snowflake Cortex を機械学習に使用し、Snowflake の Marketplace を使用して膨大な数の補足データセット、アプリ、ソリューションを構築します。,1710875911333001BsCF,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710875911333001BsCF
AI241,"AI Research Visionaries Part 1: Drs. Percy Liang, Douwe Kiela and Bryan Catanzaro ",AI 研究の先見者たち パート 1: Drs.パーシー・リアン、ダウェ・キーラ、ブライアン・カタンザーロ,Breakout-Session,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Amidst the torrential rate of AI announcements, it’s hard to focus on the bigger picture. Are open source models the solution to AI centralization of power, or a dangerous precursor to rogue use of AI? Can we imprint ethics into machine superintelligence? What areas of AI research are most promising or concerning for the future? Snowflake proudly presents a panel with three of the world’s most prominent AI researchers and founders: Drs. Percy Liang (Stanford), Douwe Kiela (Contextual AI) and Bryan Catanzaro (Nvidia). The moderator, Dr. Adrien Treuille — former professor at Carnegie Mellon, former CEO of Streamlit, and now Director of AI Product at Snowflake — will guide our exploration into these profoundly important questions, drawing on the vast experiences and insights of our distinguished guests.",AI に関する発表が急増する中、全体像に焦点を当てるのは困難です。オープンソース モデルは AI の権力集中に対する解決策なのでしょうか、それとも AI の不正使用の危険な前兆なのでしょうか?機械の超知能に倫理を刷り込むことはできるだろうか？ AI 研究の将来において最も有望な分野、または懸念される分野は何ですか? Snowflake は、世界で最も著名な AI 研究者および創設者 3 名によるパネルディスカッションを誇らしげに開催します。 Percy Liang (スタンフォード)、Douwe Kiela (Contextual AI)、Bryan Catanzaro (Nvidia)。モデレータのエイドリアン・トロイユ博士（カーネギーメロン大学の元教授、Streamlit の元 CEO、現在は Snowflake の AI 製品ディレクター）は、著名なゲストの膨大な経験と洞察を活用しながら、これらの非常に重要な疑問への私たちの探究を導きます。,1710895286410001nnxG,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710895286410001nnxG
CO108,Collaboration: A Business Necessity to Accelerate Digital Transformation,コラボレーション: デジタル変革を加速するビジネスの必需品,Breakout-Session,Collaboration,コラボレーション,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Businesses need a reliable way to share data and apps securely across clouds and regions to accelerate digital transformation across product inventory, quantitative research, consumer and market data, ESG, asset and networking data, monitoring of IoT devices, and more. Today, FTP is no longer fit for purpose. In this session, you'll learn how organizations across industries use Snowflake Marketplace, the Snowflake Native App Framework and Snowpark Container Services to share data and apps with their customers and partners. The session will cover how to discover, evaluate and purchase, as well as list and monetize, data and apps - and how to deploy your app in a container in Snowflake.",企業は、製品在庫、定量的調査、消費者および市場データ、ESG、資産およびネットワーキング データ、IoT デバイスの監視などにわたるデジタル変革を加速するために、クラウドおよびリージョン間でデータとアプリを安全に共有する信頼性の高い方法を必要としています。現在、FTP はその目的には適していません。このセッションでは、さまざまな業界の組織が Snowflake Marketplace、Snowflake Native App Framework、Snowpark Container Services を使用して顧客やパートナーとデータやアプリを共有する方法を学びます。このセッションでは、データとアプリを発見、評価、購入し、リストして収益化する方法と、Snowflake のコンテナーにアプリをデプロイする方法について説明します。,1708733245174001yiHn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733245174001yiHn
MD207,Data Mesh and Data Vault on Snowflake with Xero Effort,Xero Effort を使用した Snowflake 上のデータ メッシュとデータ ボールト,Breakout-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Xero has an advanced Data Vault/Data Mesh implementation on Snowflake. Join this session with Xero and Patrick Cuba, one of Snowflake’s experts on Data Vault, to learn how Xero used the context of domain-driven design (DDD) thinking with Data Vault design thinking to map the business architecture to the information domain through agility, automation and auditability.",Xero は、Snowflake 上に高度な Data Vault/Data Mesh 実装を備えています。 Xero と、Snowflake の Data Vault エキスパートの 1 人である Patrick Cuba によるこのセッションに参加して、Xero がドメイン駆動設計 (DDD) のコンテキストと Data Vault の設計思考を併用して、敏捷性を通じてビジネス アーキテクチャを情報ドメインにマッピングした方法を学びます。自動化と監査可能性。,1708733424502001ytDn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733424502001ytDn
MD240,Delivering Trusted Data in This Era of AI,AI の時代に信頼できるデータを提供する,Theater-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"We're living in an AI era where data trust is paramount. This session reveals the hidden intricacies behind data mistrust, spotlighting common yet elusive problems that ripple through to impact Snowflake. Discover strategies for proactive detection, notification and pre-emptive resolution to transform days of frustrating investigation into moments of clarity. Join this session to learn how to leverage data observability and an AI co-pilot for precise error identification, ensuring technical and business teams operate in harmony — and to learn how to achieve this synergy cost-effectively to mark a pivotal shift in delivering trusted data.",私たちは、データの信頼性が最も重要な AI 時代に生きています。このセッションでは、データ不信の背後に隠された複雑な要素を明らかにし、Snowflake に波及して影響を与える一般的だが捉えどころのない問題に焦点を当てます。プロアクティブな検出、通知、先制解決のための戦略を発見し、日々のイライラする調査を明確な瞬間に変えます。このセッションに参加して、データの可観測性と AI コパイロットを活用して正確なエラーを特定し、技術チームとビジネス チームが確実に調和して動作するようにする方法を学び、信頼できるデータを提供する上で極めて重要な変化を示すためにこの相乗効果をコスト効率よく達成する方法を学びましょう。 。,1709860975689001SZ62,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709860975689001SZ62
AI303,Develop a Predictive Model Using Snowflake and Sigma,Snowflake と Sigma を使用した予測モデルの開発,Hands-on-Lab,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Developing a predictive model strategy is critical in today's analytics landscape. See how Snowflake and Sigma can help you easily create predictive models tailored to your business needs, forecast future trends, optimize operations and make data-driven decisions. Learn how to explore data, identify key columns, and uncover insights without performing extensive coding; reduce complexity for a unified programming environment; develop and execute data pipelines, use feature engineering, and access your machine learning models in a single place; and eliminate the need for your end users to possess in-depth data science expertise, making the process more accessible and efficient.",今日の分析環境では、予測モデル戦略を開発することが重要です。 Snowflake と Sigma が、ビジネス ニーズに合わせた予測モデルの簡単な作成、将来の傾向の予測、運用の最適化、データ主導の意思決定にどのように役立つかをご覧ください。大規模なコーディングを行わずに、データを探索し、主要な列を特定し、洞察を明らかにする方法を学びます。統合されたプログラミング環境の複雑さを軽減します。データ パイプラインの開発と実行、特徴量エンジニアリングの使用、機械学習モデルへのアクセスを 1 か所で行います。エンドユーザーがデータサイエンスの深い専門知識を持つ必要がなくなり、プロセスがよりアクセスしやすく効率的になります。,1709661105124001nBOD,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709661105124001nBOD
AD232,"Developing Intelligent Data Apps with Streamlit by Leveraging Azure AI, Azure OpenAI and Snowflake",Azure AI、Azure OpenAI、Snowflake を活用した Streamlit によるインテリジェント データ アプリの開発,Hands-on-Lab,Application Development,アプリケーション開発,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Building data applications can be complex, involving vast amounts of data and different sources. But with an integrated data stack, developers can streamline the process from development to deployment in minutes. This hands-on lab will take the attendees on a journey of developing intelligent data apps with Streamlit, Azure AI and Azure OpenAI, and Snowflake. We'll showcase how to build a fully functional app leveraging the power of Microsoft AI technologies and Snowflake's platform capabilities.",データ アプリケーションの構築は、膨大な量のデータとさまざまなソースが関係し、複雑になる場合があります。しかし、統合されたデータ スタックを使用すると、開発者は開発から展開までのプロセスを数分で合理化できます。このハンズオン ラボでは、参加者を Streamlit、Azure AI、Azure OpenAI、Snowflake を使用したインテリジェント データ アプリの開発へと導きます。 Microsoft AI テクノロジーと Snowflake のプラットフォーム機能を活用して、完全に機能するアプリを構築する方法を紹介します。,1709775255015001ZthE,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709775255015001ZthE
AD213,Honeydew Semantic Layer: Enhancing Integration and User Experience with Snowflake Native Apps,Honeydew セマンティック レイヤー: Snowflake ネイティブ アプリとの統合とユーザー エクスペリエンスの強化,Theater-Session,Application Development,アプリケーション開発,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"Join us to learn the business advantages of shifting a connected application model to the Snowflake Native App model, and hear how we successfully built Honeydew Semantic Layer. In this session, we will share why we built a Snowflake Native App and how it can seamlessly wrap multiple external services to a coherent user experience. We’ll also touch on aspects such as data ops, caching and AI integration while providing data security and user accessibility. Lastly, we will share lessons applicable to any SaaS that wants to build an app native to Snowflake.",接続されたアプリケーション モデルを Snowflake ネイティブ アプリ モデルに移行することのビジネス上の利点を学び、Honeydew セマンティック レイヤーの構築にどのように成功したかを聞いてください。このセッションでは、Snowflake ネイティブ アプリを構築した理由と、複数の外部サービスをシームレスにラップして一貫したユーザー エクスペリエンスを実現する方法を共有します。データ セキュリティとユーザー アクセシビリティを提供しながら、データ運用、キャッシュ、AI 統合などの側面にも触れます。最後に、Snowflake ネイティブのアプリを構築したいあらゆる SaaS に適用できるレッスンを共有します。,1708733163940001y2me,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733163940001y2me
CO208,How California’s Open Data Connector Uses the Snowflake Native App Framework,カリフォルニアのオープン データ コネクタが Snowflake ネイティブ アプリ フレームワークを使用する方法,Breakout-Session,Collaboration,コラボレーション,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Snowflake has collaborated with the California Department of Technology (CDT) and the California State Water Resources Control Board (SWRCB) to implement the Open Data Connector using the Snowflake Native App Framework. The California Open Data Portal is a hub for making government data publicly available for free. It is implemented using the open source software known as CKAN. Join this session to learn how the State of California is able to share data quickly and easily to collaborate between departments and the public, thanks to the Snowflake Native App Framework.",Snowflake は、カリフォルニア工科省 (CDT) およびカリフォルニア州水資源管理委員会 (SWRCB) と協力して、Snowflake ネイティブ アプリ フレームワークを使用してオープン データ コネクタを実装しました。 California Open Data Portal は、政府データを無料で公開するためのハブです。 CKAN として知られるオープンソース ソフトウェアを使用して実装されています。このセッションに参加して、Snowflake Native App Framework のおかげで、カリフォルニア州がどのようにしてデータを迅速かつ簡単に共有し、部門間や一般の人々と共同作業できるようになったのかを学びましょう。,1708733231688001ydRq,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733231688001ydRq
MA112,"Optimize Your First-Party Data in Snowflake to Drive Improved Marketing Outcomes
",Snowflake でファーストパーティ データを最適化し、マーケティング成果の向上を促進する,Theater-Session,Marketing & Customer 360,マーケティング,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"With the deprecation of third-party cookies, evolving privacy restrictions and the need to accelerate cloud strategies, marketers are challenged to unlock additional value from their data. With TransUnion’s identity framework you can build a single view of your customer across touchpoints and channels — laying the foundation to deliver the performance you need. Session attendees will learn about Data Health Assessments, a Snowflake Native App that helps marketers, publishers and platforms understand the quality and condition of their data, and how they can benefit from TransUnion’s identity solutions. Join us to understand how your data can be quickly improved without the need to send data out from your data cloud.",サードパーティ Cookie の廃止、プライバシー制限の進化、クラウド戦略の加速の必要性により、マーケティング担当者はデータからさらなる価値を引き出すという課題に直面しています。 TransUnion の ID フレームワークを使用すると、タッチポイントやチャネル全体で顧客の単一ビューを構築でき、必要なパフォーマンスを提供するための基盤を構築できます。セッションの参加者は、マーケティング担当者、パブリッシャー、プラットフォームがデータの品質と状態を理解し、TransUnion の ID ソリューションからどのようにメリットを得られるかを理解するのに役立つ Snowflake ネイティブ アプリである Data Health Assessments について学びます。データ クラウドからデータを送信することなく、データを迅速に改善する方法を理解するには、ぜひ参加してください。,1713168843106001xmut,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1713168843106001xmut
